"","name","year","rating","duration"
"1","Top Gun: Maverick","(2022)","8.4","130 min"
"2","Everything Everywhere All at Once","(2022)","8.1","139 min"
"3","The Shining","(1980)","8.4","146 min"
"4","The Exorcist","(1973)","8.1","122 min"
"5","The Shawshank Redemption","(1994)","9.3","142 min"
"6","The Godfather","(1972)","9.2","175 min"
"7","The Lord of the Rings: The Fellowship of the Ring","(2001)","8.8","178 min"
"8","Interstellar","(2014)","8.6","169 min"
"9","Pulp Fiction","(1994)","8.9","154 min"
"10","Spider-Man: No Way Home","(2021)","8.3","148 min"
"11","Coco","(I) (2017)","8.4","105 min"
"12","The Thing","(1982)","8.2","109 min"
"13","The Dark Knight","(2008)","9.0","152 min"
"14","Fight Club","(1999)","8.8","139 min"
"15","The Silence of the Lambs","(1991)","8.6","118 min"
"16","The Wolf of Wall Street","(2013)","8.2","180 min"
"17","Joker","(I) (2019)","8.4","122 min"
"18","Gisaengchung","(2019)","8.5","132 min"
"19","The Sixth Sense","(1999)","8.2","107 min"
"20","Avengers: Endgame","(2019)","8.4","181 min"
"21","Inception","(2010)","8.8","148 min"
"22","Goodfellas","(1990)","8.7","145 min"
"23","Back to the Future","(1985)","8.5","116 min"
"24","Forrest Gump","(1994)","8.8","142 min"
"25","Se7en","(1995)","8.6","127 min"
"26","American Beauty","(1999)","8.4","122 min"
"27","Alien","(1979)","8.5","117 min"
"28","Jurassic Park","(1993)","8.2","127 min"
"29","Inglourious Basterds","(2009)","8.3","153 min"
"30","1917","(2019)","8.2","119 min"
"31","The Lord of the Rings: The Return of the King","(2003)","9.0","201 min"
"32","L̩on","(1994)","8.5","110 min"
"33","Schindler's List","(1993)","9.0","195 min"
"34","Whiplash","(2014)","8.5","106 min"
"35","Pan's Labyrinth","(2006)","8.2","118 min"
"36","Gladiator","(2000)","8.5","155 min"
"37","Shutter Island","(2010)","8.2","138 min"
"38","Psycho","(1960)","8.5","109 min"
"39","The Matrix","(1999)","8.7","136 min"
"40","A Clockwork Orange","(1971)","8.3","136 min"
"41","Django Unchained","(2012)","8.4","165 min"
"42","12 Angry Men","(1957)","9.0","96 min"
"43","The Departed","(2006)","8.5","151 min"
"44","Sen to Chihiro no Kamikakushi","(2001)","8.6","125 min"
"45","Requiem for a Dream","(2000)","8.3","102 min"
"46","Star Wars","(1977)","8.6","121 min"
"47","The Prestige","(2006)","8.5","130 min"
"48","The Green Mile","(1999)","8.6","189 min"
"49","Taxi Driver","(1976)","8.2","114 min"
"50","Stand by Me","(1986)","8.1","89 min"
